date,data_src,class,order,family,genus_species,length_m,mature_age,longevity,lat_range,long_range,trophic_level
2013-02-01,fph,Actinopterygii,Gobiesociformes,Gobiesocidae,Lepadogaster candolii,0.075,3.4,10.2,26.2109,39,2.8
2013-02-01,fph,Actinopterygii,Perciformes,Blenniidae,Parablennius gattorugine,0.3,1.1,3.8,24.3713,50,2.9
2013-02-01,fph,Actinopterygii,Perciformes,Labridae,Symphodus doderleini,0.1,1.5,4.6,NA,NA,3.4
2013-02-01,fph,Actinopterygii,Perciformes,Labridae,Symphodus melanocercus,0.14,1.6,5.2,NA,NA,3
2013-02-01,fph,Actinopterygii,Perciformes,Percophidae,Pteropsaron evolans,0.07,1.2,3.5,NA,NA,NA
2013-02-01,fph,Actinopterygii,Pleuronectiformes,Soleidae,Microchirus ocellatus,0.2,1.6,5.6,NA,NA,NA
2013-02-01,fph,Actinopterygii,Scorpaeniformes,Scorpaenidae,Scorpaena onaria,0.3,4.9,18.9,62.7867,44,NA
2013-02-01,fph,Actinopterygii,Scorpaeniformes,Scorpaenidae,Scorpaena papillosa,0.3,4.9,18.9,16.2383,40,4
2013-02-01,fph,Actinopterygii,Scorpaeniformes,Triglidae,Lepidotrigla sereti,0.11800000000000001,1.2,3.7,48.295,40,NA
2013-02-01,fph,Actinopterygii,Anguilliformes,Synaphobranchidae,Ilyophis brunneus,0.58,0.7,2.6,91.5683,214,3.2
2013-02-01,fph,Actinopterygii,Perciformes,Clinidae,Gibbonsia elegans,0.16,0.1,0,9.925,7,3.3
2013-02-01,fph,Actinopterygii,Perciformes,Clinidae,Gibbonsia metzi,0.24,0.1,0,10.6556,9,3.4
2013-02-01,fph,Actinopterygii,Perciformes,Serranidae,Acanthistius pictus,0.47,3.1,12.4,29.0467,13,4.2
2013-02-01,fph,Actinopterygii,Perciformes,Sillaginidae,Sillago soringa,0.15,1,3,NA,NA,NA
2013-02-01,fph,Actinopterygii,Scorpaeniformes,Scorpaenidae,Scorpaena sonorae,0.158,3.7,12.7,25.09167,37,NA
2013-02-01,fph,Actinopterygii,Perciformes,Cheilodactylidae,Cheilodactylus fasciatus,0.3,2.7,10.1,18.4167,20,3.4
2013-02-01,fph,Actinopterygii,Perciformes,Labridae,Decodon puellaris,0.3,2.9,10.9,60.2281,55,NA
2013-02-01,fph,Actinopterygii,Perciformes,Sparidae,Diplodus holbrookii,0.46,3.9,15.8,10.1131,23,2.3
2013-02-01,fph,Actinopterygii,Perciformes,Zoarcidae,Ophthalmolycus amberensis,0.35,3.2,12.4,18.3667,255,NA
